Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,1,0,35
2022-11-06,0,0,1
2022-11-13,0,0,93
2022-11-20,23,1,28
2022-11-27,28,0,24
2022-12-04,3,0,1
2022-12-11,1,0,72
2022-12-18,0,0,0
2022-12-25,0,0,0
2023-01-01,3,0,26
2023-01-08,3,0,40
2023-01-15,0,0,2
2023-01-22,0,0,1
2023-01-29,1,36,0
2023-02-05,0,0,1
2023-02-12,2,2,0
2023-02-19,0,39,0
2023-02-26,2,1,22
2023-03-05,0,18,0
2023-03-12,1,0,1
2023-03-19,0,0,0
2023-03-26,0,0,1
2023-04-02,0,0,24
2023-04-09,29,0,1
2023-04-16,0,35,1
2023-04-23,0,0,40
2023-04-30,0,0,1
2023-05-07,1,0,0
2023-05-14,1,89,0
2023-05-21,2,24,1
2023-05-28,0,21,0
2023-06-04,0,0,2
2023-06-11,0,57,0
2023-06-18,0,30,0
2023-06-25,54,29,0
2023-07-02,1,1,100
2023-07-09,0,2,2
2023-07-16,2,0,1
2023-07-23,0,0,0
2023-07-30,1,0,0
2023-08-06,2,1,23
2023-08-13,30,2,2
2023-08-20,0,0,1
2023-08-27,27,1,0
2023-09-03,0,0,0
2023-09-10,0,23,1
2023-09-17,0,45,75
2023-09-24,0,0,2
2023-10-01,0,1,1
2023-10-08,0,0,0
2023-10-15,21,0,0
2023-10-22,0,0,0
2023-10-29,2,0,0
2023-11-05,0,0,21
2023-11-12,1,72,0
2023-11-19,0,1,48
2023-11-26,1,0,0
