Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,0,30,1
2022-11-06,0,2,43
2022-11-13,0,0,29
2022-11-20,1,50,22
2022-11-27,63,2,0
2022-12-04,0,0,1
2022-12-11,0,0,1
2022-12-18,0,1,1
2022-12-25,0,1,0
2023-01-01,1,84,0
2023-01-08,2,0,1
2023-01-15,0,1,77
2023-01-22,0,2,47
2023-01-29,0,0,100
2023-02-05,40,0,31
2023-02-12,4,2,0
2023-02-19,0,0,0
2023-02-26,40,1,24
2023-03-05,38,0,29
2023-03-12,1,0,22
2023-03-19,0,1,0
2023-03-26,0,0,1
2023-04-02,0,1,1
2023-04-09,0,1,75
2023-04-16,0,0,0
2023-04-23,3,0,2
2023-04-30,35,28,33
2023-05-07,0,19,1
2023-05-14,51,0,30
2023-05-21,20,0,50
2023-05-28,0,0,0
2023-06-04,18,42,1
2023-06-11,29,32,0
2023-06-18,0,1,2
2023-06-25,0,0,0
2023-07-02,0,0,30
2023-07-09,0,0,43
2023-07-16,0,0,3
2023-07-23,1,0,1
2023-07-30,1,0,42
2023-08-06,0,1,47
2023-08-13,25,2,0
2023-08-20,1,0,1
2023-08-27,0,0,0
2023-09-03,0,0,0
2023-09-10,1,100,2
2023-09-17,0,0,70
2023-09-24,0,0,0
2023-10-01,0,2,38
2023-10-08,0,0,1
2023-10-15,1,23,0
2023-10-22,1,0,0
2023-10-29,0,0,1
2023-11-05,27,45,0
2023-11-12,0,0,1
2023-11-19,0,1,0
2023-11-26,0,0,0
