Date,monkeypox,mpox,monkeypox_ Arabic
2022-10-30,61,37,1
2022-11-06,3,1,2
2022-11-13,1,1,0
2022-11-20,0,0,0
2022-11-27,0,1,1
2022-12-04,24,3,2
2022-12-11,29,0,1
2022-12-18,0,0,0
2022-12-25,0,1,1
2023-01-01,0,0,0
2023-01-08,0,0,4
2023-01-15,0,0,0
2023-01-22,0,43,1
2023-01-29,0,0,36
2023-02-05,1,0,0
2023-02-12,73,0,0
2023-02-19,1,0,1
2023-02-26,0,0,0
2023-03-05,0,0,0
2023-03-12,30,0,0
2023-03-19,3,0,39
2023-03-26,0,0,0
2023-04-02,0,3,0
2023-04-09,1,0,0
2023-04-16,0,1,0
2023-04-23,0,2,1
2023-04-30,32,0,100
2023-05-07,1,0,0
2023-05-14,1,28,0
2023-05-21,0,0,0
2023-05-28,0,1,0
2023-06-04,0,0,0
2023-06-11,0,0,2
2023-06-18,49,0,2
2023-06-25,0,0,0
2023-07-02,0,0,46
2023-07-09,0,44,0
2023-07-16,0,3,0
2023-07-23,0,0,0
2023-07-30,58,0,1
2023-08-06,0,0,57
2023-08-13,0,0,0
2023-08-20,0,0,0
2023-08-27,0,0,1
2023-09-03,0,48,0
2023-09-10,0,1,2
2023-09-17,1,31,1
2023-09-24,0,41,2
2023-10-01,25,71,1
2023-10-08,0,31,1
2023-10-15,1,0,0
2023-10-22,82,0,1
2023-10-29,3,0,0
2023-11-05,43,25,2
2023-11-12,1,1,0
2023-11-19,2,0,2
2023-11-26,0,1,31
