Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,0,0,1
2022-11-06,88,0,0
2022-11-13,45,25,0
2022-11-20,0,20,0
2022-11-27,3,0,0
2022-12-04,1,1,1
2022-12-11,55,1,2
2022-12-18,26,26,0
2022-12-25,0,0,0
2023-01-01,1,1,25
2023-01-08,1,0,0
2023-01-15,46,0,49
2023-01-22,0,35,0
2023-01-29,50,22,1
2023-02-05,1,0,0
2023-02-12,0,53,89
2023-02-19,21,1,1
2023-02-26,0,0,0
2023-03-05,1,0,22
2023-03-12,22,0,0
2023-03-19,2,1,0
2023-03-26,79,0,0
2023-04-02,1,34,1
2023-04-09,0,0,0
2023-04-16,0,1,1
2023-04-23,29,0,0
2023-04-30,30,0,0
2023-05-07,0,0,45
2023-05-14,1,45,0
2023-05-21,0,0,0
2023-05-28,0,0,0
2023-06-04,1,100,1
2023-06-11,1,1,0
2023-06-18,0,3,0
2023-06-25,0,23,0
2023-07-02,27,0,39
2023-07-09,1,38,53
2023-07-16,0,1,0
2023-07-23,0,0,0
2023-07-30,0,0,43
2023-08-06,0,0,43
2023-08-13,0,0,0
2023-08-20,1,0,0
2023-08-27,0,2,0
2023-09-03,1,0,0
2023-09-10,1,0,0
2023-09-17,2,0,0
2023-09-24,48,1,1
2023-10-01,18,0,0
2023-10-08,34,25,0
2023-10-15,0,0,18
2023-10-22,32,0,0
2023-10-29,0,0,34
2023-11-05,0,19,0
2023-11-12,50,0,0
2023-11-19,0,23,0
2023-11-26,0,0,1
