Date,monkeypox,mpox,monkeypox_ French
2022-10-30,0,0,0
2022-11-06,0,0,1
2022-11-13,0,0,40
2022-11-20,0,0,0
2022-11-27,1,0,1
2022-12-04,1,0,0
2022-12-11,25,0,0
2022-12-18,0,0,25
2022-12-25,1,0,0
2023-01-01,0,0,0
2023-01-08,0,0,0
2023-01-15,0,0,1
2023-01-22,0,0,2
2023-01-29,1,0,25
2023-02-05,1,0,0
2023-02-12,0,0,0
2023-02-19,0,0,0
2023-02-26,0,0,0
2023-03-05,0,0,0
2023-03-12,1,0,0
2023-03-19,0,0,0
2023-03-26,0,0,0
2023-04-02,0,0,1
2023-04-09,1,0,100
2023-04-16,1,0,2
2023-04-23,0,0,0
2023-04-30,0,0,1
2023-05-07,1,0,0
2023-05-14,1,0,0
2023-05-21,0,0,1
2023-05-28,1,0,51
2023-06-04,23,0,29
2023-06-11,1,0,0
2023-06-18,0,0,0
2023-06-25,0,0,0
2023-07-02,0,0,1
2023-07-09,39,0,60
2023-07-16,1,0,0
2023-07-23,0,0,1
2023-07-30,1,0,1
2023-08-06,0,0,0
2023-08-13,1,0,40
2023-08-20,69,0,2
2023-08-27,66,0,0
2023-09-03,2,0,22
2023-09-10,2,0,0
2023-09-17,0,0,0
2023-09-24,0,0,63
2023-10-01,0,0,44
2023-10-08,42,0,0
2023-10-15,2,0,1
2023-10-22,85,0,39
2023-10-29,0,0,1
2023-11-05,0,0,1
2023-11-12,3,0,0
2023-11-19,71,0,1
2023-11-26,0,0,35
